timestamp,x_normalized,y_normalized
1746689347377,0.3776,0.4447
1746689347393,0.4115,0.5240
1746689347409,0.4562,0.6315
1746689347425,0.4734,0.6743
1746689347441,0.4859,0.7056
1746689347457,0.4943,0.7286
1746689347473,0.5021,0.7484
1746689347488,0.5078,0.7599
1746689347505,0.5094,0.7620
1746689347522,0.5094,0.7620
1746689347538,0.5094,0.7620
1746689347554,0.5099,0.7630
1746689347569,0.5104,0.7630
1746689347586,0.5115,0.7641
1746689347602,0.5125,0.7641
1746689347617,0.5151,0.7641
1746689347634,0.5167,0.7630
1746689347649,0.5188,0.7599
1746689347665,0.5203,0.7557
1746689347682,0.5234,0.7443
1746689347697,0.5255,0.7255
1746689347713,0.5255,0.7129
1746689347729,0.5245,0.7025
1746689347746,0.5234,0.6962
1746689347762,0.5219,0.6889
1746689347777,0.5208,0.6868
1746689347793,0.5208,0.6858
1746689347809,0.5203,0.6837
1746689347825,0.5198,0.6837
1746689347840,0.5198,0.6827
1746689347857,0.5193,0.6816
1746689347873,0.5193,0.6816
1746689347888,0.5193,0.6816
1746689347905,0.5188,0.6816
1746689347922,0.5182,0.6816
1746689347937,0.5182,0.6816
1746689347954,0.5177,0.6806
1746689347970,0.5172,0.6806
1746689347986,0.5161,0.6795
1746689348002,0.5151,0.6795
1746689348017,0.5135,0.6764
1746689348033,0.5130,0.6764
1746689348050,0.5120,0.6743
1746689348066,0.5120,0.6743
1746689348082,0.5115,0.6733
1746689348097,0.5109,0.6722
1746689348113,0.5109,0.6722
1746689348130,0.5104,0.6722
1746689348145,0.5104,0.6712
1746689348162,0.5104,0.6712
1746689348178,0.5104,0.6712
1746689348194,0.5104,0.6712
1746689348209,0.5099,0.6712
1746689348226,0.5099,0.6712
1746689348242,0.5099,0.6701
1746689348257,0.5099,0.6701
1746689348273,0.5099,0.6701
1746689348289,0.5099,0.6701
1746689348305,0.5099,0.6701
1746689348321,0.5099,0.6701
1746689348337,0.5099,0.6701
1746689348353,0.5099,0.6701
1746689348370,0.5099,0.6701
1746689348386,0.5099,0.6701
1746689348402,0.5099,0.6701
1746689348417,0.5099,0.6701
1746689348433,0.5099,0.6701
1746689348449,0.5099,0.6701
1746689348466,0.5099,0.6701
1746689348481,0.5099,0.6701
1746689348497,0.5099,0.6701
1746689348513,0.5099,0.6701
1746689348530,0.5099,0.6701
1746689348545,0.5099,0.6701
1746689348562,0.5099,0.6701
1746689348577,0.5099,0.6701
1746689348593,0.5099,0.6701
1746689348610,0.5094,0.6691
1746689348625,0.5094,0.6681
1746689348641,0.5094,0.6681
1746689348658,0.5094,0.6681
1746689348674,0.5094,0.6681
1746689348690,0.5094,0.6681
1746689348706,0.5094,0.6681
1746689348722,0.5089,0.6670
1746689348737,0.5089,0.6670
1746689348753,0.5089,0.6660
1746689348769,0.5083,0.6660
1746689348786,0.5083,0.6649
1746689348801,0.5083,0.6649
1746689348817,0.5083,0.6639
1746689348834,0.5083,0.6639
1746689348850,0.5083,0.6639
1746689348866,0.5083,0.6639
1746689348882,0.5083,0.6639
1746689348898,0.5083,0.6639
1746689348914,0.5083,0.6639
1746689348930,0.5083,0.6639
1746689348946,0.5083,0.6639
1746689348962,0.5083,0.6639
1746689348978,0.5083,0.6639
1746689348993,0.5083,0.6639
1746689349008,0.5078,0.6639
1746689349025,0.5078,0.6639
1746689349041,0.5078,0.6628
1746689349057,0.5078,0.6628
1746689349073,0.5078,0.6618
1746689349090,0.5078,0.6618
1746689349106,0.5078,0.6618
1746689349122,0.5078,0.6618
1746689349138,0.5078,0.6618
1746689349154,0.5078,0.6618
1746689349170,0.5078,0.6618
1746689349185,0.5078,0.6618
1746689349202,0.5078,0.6618
1746689349218,0.5078,0.6618
1746689349233,0.5078,0.6618
1746689349249,0.5078,0.6618
1746689349265,0.5078,0.6618
1746689349282,0.5078,0.6618
1746689349298,0.5078,0.6618
1746689349314,0.5078,0.6618
